"diseaseId","diseaseName","diseaseType","diseaseClass","diseaseSemanticType","autism_subtype_broad","n_genes","is_autism"
"C4084709","DEAFNESS, AUTOSOMAL RECESSIVE 97","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C4085248","OSTEOFIBROUS DYSPLASIA, SUSCEPTIBILITY TO","phenotype","","Finding","Not Autism",1,FALSE
"C2931008","Congenital disorder of glycosylation type 2A","disease","C05;C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C0014378","Enterovirus Infections","group","C02","Disease or Syndrome","Not Autism",6,FALSE
"C0027430","Nasal Polyps","disease","C08;C09;C23","Disease or Syndrome","Not Autism",1,FALSE
"C1835039","Melanosis, Universal","disease","C17","Disease or Syndrome","Not Autism",1,FALSE
"C1840392","HYPERPIGMENTATION, FAMILIAL PROGRESSIVE","disease","C17","Disease or Syndrome","Not Autism",1,FALSE
"C4225241","DEAFNESS, AUTOSOMAL DOMINANT 69","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C1855607","Keutel syndrome","disease","C05;C14;C16;C17;C18","Disease or Syndrome","Not Autism",1,FALSE
"C0001403","Addison Disease","disease","C19;C20","Disease or Syndrome","Not Autism",2,FALSE
"C1859534","Bare Lymphocyte Syndrome, Type II, Complementation Group A","disease","C16;C18;C20","Disease or Syndrome","Not Autism",3,FALSE
"C1859535","Bare Lymphocyte Syndrome, Type II, Complementation Group B","disease","C16;C18;C20","Disease or Syndrome","Not Autism",3,FALSE
"C1859536","Bare Lymphocyte Syndrome, Type II, Complementation Group C","disease","C16;C18;C20","Disease or Syndrome","Not Autism",3,FALSE
"C1859537","Bare Lymphocyte Syndrome, Type II, Complementation Group D","disease","C16;C18;C20","Disease or Syndrome","Not Autism",3,FALSE
"C1859538","Bare Lymphocyte Syndrome, Type II, Complementation Group E","disease","C16;C18;C20","Disease or Syndrome","Not Autism",3,FALSE
"C2931418","Bare lymphocyte syndrome 2","disease","C16;C18;C20","Disease or Syndrome","Not Autism",4,FALSE
"C0019100","Severe Dengue","disease","C02","Disease or Syndrome","Not Autism",3,FALSE
"C0376300","Dengue Shock Syndrome","disease","C02","Disease or Syndrome","Not Autism",3,FALSE
"C0175696","Congenital cleft larynx and Opitz-Frias syndrome","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C2936904","Opitz GBBB Syndrome, X-Linked","disease","C05;C07;C12;C13;C16","Disease or Syndrome","Not Autism",1,FALSE
"C3809001","CATARACT 15, MULTIPLE TYPES","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C4310661","COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 31","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C0078918","Albinism, Oculocutaneous","disease","C11;C16;C17;C18","Congenital Abnormality","Not Autism",2,FALSE
"C0078921","Albinism, Tyrosinase-Negative","disease","C11;C16;C17;C18","Congenital Abnormality","Not Autism",2,FALSE
"C0078922","Albinism, Tyrosinase-Positive","disease","C11;C16;C17;C18","Congenital Abnormality","Not Autism",2,FALSE
"C0078923","Albinism, Yellow-Mutant","phenotype","C11;C16;C17;C18","Finding","Not Autism",2,FALSE
"C0391816","Tietz syndrome","disease","C09;C10;C11;C16;C17;C18;C23","Disease or Syndrome","Not Autism",1,FALSE
"C1845069","ALBINISM, OCULAR, WITH LATE-ONSET SENSORINEURAL DEAFNESS (disorder)","disease","C09;C10;C11;C16;C17;C18;C23","Congenital Abnormality; Disease or Syndrome","Not Autism",2,FALSE
"C1860339","WAARDENBURG SYNDROME, TYPE IIA","disease","C16","Disease or Syndrome","Not Autism",1,FALSE
"C1863198","ALBINISM, OCULAR, WITH SENSORINEURAL DEAFNESS (disorder)","disease","","Disease or Syndrome","Not Autism",2,FALSE
"C2700405","WAARDENBURG SYNDROME, TYPE IIE","disease","C16","Disease or Syndrome","Not Autism",2,FALSE
"C3152204","MELANOMA, CUTANEOUS MALIGNANT, SUSCEPTIBILITY TO, 8","phenotype","","Finding","Not Autism",1,FALSE
"C4310625","COLOBOMA, OSTEOPETROSIS, MICROPHTHALMIA, MACROCEPHALY, ALBINISM, AND DEAFNESS","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C4518333","Clear cell papillary renal cell carcinoma","disease","","Neoplastic Process","Not Autism",3,FALSE
"C0024408","Machado-Joseph Disease","disease","C10;C16","Disease or Syndrome","Not Autism",1,FALSE
"C0751668","Machado-Joseph Disease Type I","disease","C10;C16","Disease or Syndrome","Not Autism",1,FALSE
"C0751669","Machado-Joseph Disease Type II","disease","C10;C16","Disease or Syndrome","Not Autism",1,FALSE
"C0751670","Machado-Joseph Disease Type III","disease","C10;C16","Disease or Syndrome","Not Autism",1,FALSE
"C0751671","Machado-Joseph Disease Type IV","disease","C10;C16","Disease or Syndrome","Not Autism",1,FALSE
"C1333991","Hereditary Non-Polyposis Colon Cancer Type 2","disease","C04;C16","Neoplastic Process","Not Autism",2,FALSE
"A12","Cornelia de Lange Syndrome","disease","C10;C16","Disease or Syndrome","Syndromic Autism",8,TRUE
"C0280141","Acute Undifferentiated Leukemia","disease","","Neoplastic Process","Not Autism",1,FALSE
"C0349680","Acute bilineal leukemia","disease","","Neoplastic Process","Not Autism",1,FALSE
"C0856823","Undifferentiated type acute leukemia","disease","","Neoplastic Process","Not Autism",1,FALSE
"C1292775","Acute myeloid leukemia, 11q23 abnormalities","disease","","Neoplastic Process","Not Autism",1,FALSE
"C1854630","Growth Deficiency and Mental Retardation with Facial Dysmorphism","disease","C05;C10;C16;C23;F01;F03","Disease or Syndrome","Not Autism",2,FALSE
"C1854631","Hypertension, Early-Onset, Autosomal Dominant, with Severe Exacerbation in Pregnancy","disease","C14","Disease or Syndrome","Not Autism",1,FALSE
"C2750747","NIGHT BLINDNESS, CONGENITAL STATIONARY, TYPE 1C","disease","C11;C16","Disease or Syndrome","Not Autism",1,FALSE
"C0268390","Muckle-Wells Syndrome","disease","C16;C17","Disease or Syndrome","Not Autism",4,FALSE
"C0343068","Familial cold urticaria","disease","C16;C17","Disease or Syndrome","Not Autism",4,FALSE
"C0409818","Chronic Infantile Neurological, Cutaneous, and Articular Syndrome","disease","C16;C17","Disease or Syndrome","Not Autism",4,FALSE
"C2316212","Cryopyrin-Associated Periodic Syndromes","disease","C16;C17","Disease or Syndrome","Not Autism",4,FALSE
"C4310763","SPINOCEREBELLAR ATAXIA 43","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C0002940","Aneurysm","phenotype","C14","Anatomical Abnormality","Not Autism",1,FALSE
"C0333099","Fusiform Aneurysm","phenotype","C14","Anatomical Abnormality","Not Autism",1,FALSE
"C2713497","Saccular Aneurysm","disease","C14","Pathologic Function","Not Autism",1,FALSE
"C0005967","Bone neoplasms","group","C04;C05","Neoplastic Process","Not Autism",8,FALSE
"C0022682","Kienbock Disease","disease","C05;C23","Disease or Syndrome","Not Autism",1,FALSE
"C0024689","Mandibular Diseases","group","C05;C07","Disease or Syndrome","Not Autism",2,FALSE
"C0024950","Maxillary Diseases","group","C05;C07","Disease or Syndrome","Not Autism",1,FALSE
"C0027543","Avascular necrosis of bone","phenotype","C05;C23","Pathologic Function","Not Autism",1,FALSE
"C0028433","Nose Neoplasms","group","C04;C05;C08;C09","Neoplastic Process","Not Autism",1,FALSE
"C0029445","Bone necrosis","phenotype","C05;C23","Pathologic Function","Not Autism",1,FALSE
"C0279530","Malignant Bone Neoplasm","disease","C04;C05","Neoplastic Process","Not Autism",8,FALSE
"C0520474","Aseptic Necrosis of Bone","phenotype","C05;C23","Pathologic Function","Not Autism",1,FALSE
"C0751394","Cancer of Nose","disease","C04;C05;C08;C09","Neoplastic Process","Not Autism",1,FALSE
"C1850155","TORG-WINCHESTER SYNDROME","disease","C05","Disease or Syndrome","Not Autism",2,FALSE
"C0006114","Cerebral Edema","disease","C10","Disease or Syndrome","Not Autism",7,FALSE
"C0340288","Stable angina","disease","C14;C23","Disease or Syndrome","Not Autism",3,FALSE
"C0432226","Metaphyseal anadysplasia","disease","C05;C16","Disease or Syndrome","Not Autism",2,FALSE
"C0472387","Vasogenic Cerebral Edema","phenotype","C10","Pathologic Function","Not Autism",7,FALSE
"C0472388","Cytotoxic Cerebral Edema","phenotype","C10","Pathologic Function","Not Autism",7,FALSE
"C0750969","Vasogenic Brain Edema","phenotype","C10","Pathologic Function","Not Autism",7,FALSE
"C0750970","Cytotoxic Brain Edema","phenotype","C10","Pathologic Function","Not Autism",7,FALSE
"C1527311","Brain Edema","disease","C10","Disease or Syndrome","Not Autism",7,FALSE
"C2751322","Metaphyseal Anadysplasia 2","disease","C05;C16","Disease or Syndrome","Not Autism",1,FALSE
"C0432225","Metaphyseal chondrodysplasia Spahr type","disease","C05;C16","Disease or Syndrome","Not Autism",1,FALSE
"C1865832","Spondyloepimetaphyseal Dysplasia, Missouri Type","disease","C05;C16","Disease or Syndrome","Not Autism",1,FALSE
"C2748495","Metaphyseal Anadysplasia 1","disease","C05;C16","Disease or Syndrome","Not Autism",1,FALSE
"C0432289","Winchester syndrome (disorder)","disease","C05;C11;C16;C18;C23","Disease or Syndrome","Not Autism",1,FALSE
"C1969063","Cavitary Optic Disc Anomalies","disease","C11;C16","Disease or Syndrome","Not Autism",1,FALSE
"C3279840","Methylmalonate Semialdehyde Dehydrogenase Deficiency","disease","C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C1333989","Familial meningioma","disease","C04;C10;C16","Neoplastic Process","Not Autism",6,FALSE
"C0268119","Combined molybdoflavoprotein enzyme deficiency","disease","C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C1854988","Molybdenum Cofactor Deficiency, Complementation Group A","disease","C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C1854989","Molybdenum Cofactor Deficiency, Complementation Group B","disease","C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C3280266","NARCOLEPSY 7","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C1865145","Congenital disorder of glycosylation type 1B","disease","C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C1327915","Congenital amegakaryocytic thrombocytopenia","disease","C15","Congenital Abnormality","Not Autism",1,FALSE
"C3275998","THROMBOCYTHEMIA 2","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C0398595","Myeloperoxidase Deficiency","disease","C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C0009197","Cochlear Diseases","group","C09","Disease or Syndrome","Not Autism",2,FALSE
"C0949855","Electron Transport Chain Deficiencies, Mitochondrial","disease","C18","Disease or Syndrome","Not Autism",9,FALSE
"C0949856","Oxidative Phosphorylation Deficiencies","disease","C18","Disease or Syndrome","Not Autism",9,FALSE
"C0949857","Mitochondrial Respiratory Chain Deficiencies","disease","C18","Disease or Syndrome","Not Autism",9,FALSE
"C1850406","NAVAJO NEUROHEPATOPATHY","disease","C06;C10;C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C1850407","Navajo Familial Neurogenic Arthropathy","disease","C06;C10;C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C1843075","Charcot-Marie-Tooth Disease, Dominant Intermediate D","disease","C10;C16","Disease or Syndrome","Not Autism",1,FALSE
"C1843153","Charcot-Marie-Tooth disease, Type 2J","disease","C09;C10;C16;C23","Disease or Syndrome","Not Autism",1,FALSE
"C3888087","Charcot-Marie-Tooth disease, Type 2I","disease","C10;C16","Disease or Syndrome","Not Autism",2,FALSE
"C1858391","ATAXIA-TELANGIECTASIA-LIKE DISORDER","disease","C10;C14;C16;C18;C20","Disease or Syndrome","Not Autism",2,FALSE
"C1859598","ATAXIA, EARLY-ONSET, WITH OCULOMOTOR APRAXIA AND HYPOALBUMINEMIA","disease","C10;C15;C23;F01","Disease or Syndrome","Not Autism",2,FALSE
"C2751318","Nijmegen Breakage Syndrome-Like Disorder","disease","C05;C10;C16;C18;C23","Disease or Syndrome","Not Autism",2,FALSE
"C4012790","Ataxia-Telangiectasisa-Like Disorder 1","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C2936783","Colorectal cancer, hereditary nonpolyposis, type 1","disease","C04;C06;C16;C18","Neoplastic Process","Not Autism",1,FALSE
"C4310719","FAMILIAL ADENOMATOUS POLYPOSIS 4","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C4479510","PREMATURE OVARIAN FAILURE 13","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C2677821","Prostate Cancer, Hereditary, 13","disease","C04;C12","Neoplastic Process","Not Autism",1,FALSE
"C4310812","IMMUNODEFICIENCY 50","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C4310729","NASOPHARYNGEAL CARCINOMA, SUSCEPTIBILITY TO, 3","phenotype","","Finding","Not Autism",1,FALSE
"C0406716","Hypodontia and nail dysgenesis","disease","","Congenital Abnormality","Not Autism",1,FALSE
"C0406735","Hypoplastic enamel-onycholysis-hypohidrosis syndrome","disease","C07;C16;C23","Disease or Syndrome","Not Autism",1,FALSE
"C1837210","OROFACIAL CLEFT 5","disease","C05;C07;C16","Disease or Syndrome","Not Autism",1,FALSE
"C1970117","Tooth Agenesis, Selective, With Orofacial Cleft","disease","C05;C07;C16","Disease or Syndrome","Not Autism",1,FALSE
"C1970118","Hypodontia Oligodontia with Orofacial Cleft","disease","C05;C07;C16","Disease or Syndrome","Not Autism",1,FALSE
"C3711374","Nonsyndromic Deafness","disease","C09;C10;C23","Disease or Syndrome","Not Autism",3,FALSE
"C1858160","CRANIOSYNOSTOSIS, TYPE 2","disease","C05;C16","Disease or Syndrome","Not Autism",1,FALSE
"C1868597","Parietal Foramina With Cleidocranial Dysplasia","disease","C05;C10;C16;C23","Disease or Syndrome","Not Autism",1,FALSE
"C1868598","PARIETAL FORAMINA","disease","C10;C16;C23","Congenital Abnormality","Not Autism",2,FALSE
"C1868599","PARIETAL FORAMINA 1","disease","C10;C16;C23","Congenital Abnormality","Not Autism",1,FALSE
"C0349218","Recurrent depressive disorder","disease","","Mental or Behavioral Dysfunction","Not Autism",2,FALSE
"C0027960","Nevus","disease","C04","Neoplastic Process","Not Autism",2,FALSE
"C1300202","Diaphyseal medullary stenosis with bone malignancy","disease","","Neoplastic Process","Not Autism",1,FALSE
"C1862177","Diaphyseal medullary stenosis with malignant fibrous histiocytoma","disease","C04;C05;C16","Disease or Syndrome","Not Autism",1,FALSE
"C1328349","Neuropathy ataxia and retinis pigmentosa","disease","C05;C10;C11;C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C1838916","ATAXIA AND POLYNEUROPATHY, ADULT-ONSET","disease","C10;C18;C23","Disease or Syndrome","Not Autism",1,FALSE
"C1839022","Striatonigral Degeneration, Infantile, Mitochondrial","disease","C10","Disease or Syndrome","Not Autism",1,FALSE
"C2748884","CARDIOMYOPATHY, INFANTILE HYPERTROPHIC","disease","","Disease or Syndrome","Not Autism",2,FALSE
"C2931092","Maternally Inherited Leigh Syndrome","disease","C10;C16;C18","Disease or Syndrome","Not Autism",11,FALSE
"C3275684","MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) DEFICIENCY, MITOCHONDRIAL TYPE 1","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C4016603","SEIZURES AND LACTIC ACIDOSIS","phenotype","","Finding","Not Autism",1,FALSE
"C4225415","MYOPATHY, LACTIC ACIDOSIS, AND SIDEROBLASTIC ANEMIA 3","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C4225591","MITOCHONDRIAL MYOPATHY, LACTIC ACIDOSIS, AND SIDEROBLASTIC ANEMIA 3 (1 patient)","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C3275685","MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) DEFICIENCY, MITOCHONDRIAL TYPE 2","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C3275686","CARDIOMYOPATHY, APICAL HYPERTROPHIC, AND NEUROPATHY","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C3888025","BRAIN PSEUDOATROPHY, REVERSIBLE, VALPROATE-INDUCED, SUSCEPTIBILITY TO","phenotype","","Finding","Not Autism",1,FALSE
"C1838854","DEAFNESS, AMINOGLYCOSIDE-INDUCED","disease","C09;C10;C23","Disease or Syndrome","Not Autism",5,FALSE
"C1857332","Deafness, Sensorineural, Autosomal-Mitochondrial Type","disease","C09;C10;C23","Disease or Syndrome","Not Autism",6,FALSE
"C4274324","Genetic recurrent myoglobinuria","disease","","Finding","Not Autism",3,FALSE
"C1708371","Histiocytoid Cardiomyopathy","disease","C14","Disease or Syndrome","Not Autism",1,FALSE
"C1866558","Neural tube defect, folate-sensitive","disease","C10;C16","Disease or Syndrome","Not Autism",4,FALSE
"C1866559","Spina Bifida, Folate-Sensitive","disease","C10;C16","Disease or Syndrome","Not Autism",1,FALSE
"C1960883","Spina bifida aperta of cervical spine","disease","","Congenital Abnormality","Not Autism",6,FALSE
"C0002902","Anencephaly","disease","C10;C16","Congenital Abnormality","Not Autism",4,FALSE
"C0011057","Hearing Loss, Sudden","phenotype","C09;C10;C23","Finding","Not Autism",1,FALSE
"C0025312","Meningomyelocele","disease","C10;C16","Congenital Abnormality","Not Autism",4,FALSE
"C0040156","Thyrotoxicosis","disease","C19","Disease or Syndrome","Not Autism",2,FALSE
"C0086664","Myelocele","disease","C10;C16","Congenital Abnormality","Not Autism",4,FALSE
"C0206064","Microvascular Angina","disease","C14","Disease or Syndrome","Not Autism",1,FALSE
"C0206708","Cervical Intraepithelial Neoplasia","disease","C04","Neoplastic Process","Not Autism",2,FALSE
"C0266452","Hemicephaly","disease","","Congenital Abnormality","Not Autism",2,FALSE
"C0266672","Amyelencephalus","disease","","Congenital Abnormality","Not Autism",2,FALSE
"C0302356","incomplete anencephaly, hemicrania","disease","C10;C16","Congenital Abnormality","Not Autism",4,FALSE
"C0524948","Maxillofacial Abnormalities","disease","C05;C07;C16","Congenital Abnormality","Not Autism",1,FALSE
"C0685896","Acephaly","disease","","Congenital Abnormality","Not Autism",2,FALSE
"C0751316","Acquired Meningomyelocele","phenotype","C10;C16","Acquired Abnormality","Not Autism",4,FALSE
"C0852077","Blood Coagulation Disorders, Inherited","group","C15;C16","Disease or Syndrome","Not Autism",1,FALSE
"C1148477","Deafness, Sudden","phenotype","C09;C10;C23","Sign or Symptom","Not Autism",1,FALSE
"C1856058","HOMOCYSTINURIA DUE TO DEFICIENCY OF N(5,10)-METHYLENETETRAHYDROFOLATE REDUCTASE ACTIVITY","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C1856059","Mthfr Deficiency, Thermolabile Type","disease","C10;C16;C17;C18","Disease or Syndrome","Not Autism",1,FALSE
"C1856061","Methylenetetrahydrofolate reductase deficiency","disease","C05;C10;C16;C17;C18;C23;F03","Disease or Syndrome","Not Autism",1,FALSE
"C1846169","Myotubular Myopathy with Abnormal Genital Development","disease","C05;C10;C12;C13;C16","Disease or Syndrome","Not Autism",2,FALSE
"C1838979","MITOCHONDRIAL COMPLEX I DEFICIENCY","disease","C18","Disease or Syndrome","Not Autism",27,FALSE
"C1838990","ALZHEIMER DISEASE, SUSCEPTIBILITY TO, MITOCHONDRIAL","disease","","Finding","Not Autism",2,FALSE
"C2936907","NADH:Q(1) Oxidoreductase deficiency","disease","C18","Disease or Syndrome","Not Autism",30,FALSE
"C4304725","Leber plus disease","disease","","Disease or Syndrome","Not Autism",3,FALSE
"C0029125","Optic Atrophies, Hereditary","group","C10;C11;C16","Disease or Syndrome","Not Autism",2,FALSE
"C1839040","LEBER OPTIC ATROPHY AND DYSTONIA","disease","C10;C11;C16;C18;C23","Disease or Syndrome","Not Autism",2,FALSE
"C0000744","Abetalipoproteinemia","disease","C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C1854178","ABDOMINAL OBESITY-METABOLIC SYNDROME QUANTITATIVE TRAIT LOCUS 1","phenotype","","Finding","Not Autism",1,FALSE
"C1970051","METABOLIC SYNDROME, PROTECTION AGAINST","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C2930930","Abdominal obesity metabolic syndrome","disease","C18","Disease or Syndrome","Not Autism",2,FALSE
"C1855128","Methylcobalamin Deficiency, CblG Type","disease","C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C1856057","Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type","disease","C10;C15;C16;C17;C18","Disease or Syndrome","Not Autism",1,FALSE
"C0342289","Diabetes-deafness syndrome maternally transmitted (disorder)","disease","C09;C10;C18;C19;C23","Disease or Syndrome","Not Autism",3,FALSE
"C1839028","Mitochondrial Myopathy with Diabetes","disease","C05;C10;C18;C19","Disease or Syndrome","Not Autism",1,FALSE
"C3151898","MITOCHONDRIAL MYOPATHY, INFANTILE, TRANSIENT","disease","","Disease or Syndrome","Not Autism",2,FALSE
"C0001125","Acidosis, Lactic","phenotype","C18","Disease or Syndrome","Not Autism",5,FALSE
"C0162666","Mitochondrial Encephalomyopathies","group","C05;C10;C18","Disease or Syndrome","Not Autism",8,FALSE
"C1838867","PARKINSON DISEASE, MITOCHONDRIAL (disorder)","disease","C10;C18","Disease or Syndrome","Not Autism",1,FALSE
"C1838876","MITOCHONDRIAL MYOPATHY, LETHAL, INFANTILE","disease","C05;C10;C18","Disease or Syndrome","Not Autism",1,FALSE
"C1868139","Medullary cystic kidney disease 1","disease","C12;C13;C16","Disease or Syndrome","Not Autism",1,FALSE
"C0524582","Mulibrey Nanism","disease","C05;C16","Disease or Syndrome","Not Autism",1,FALSE
"C2931895","Pericardial constriction with growth failure","disease","C05;C16","Disease or Syndrome","Not Autism",1,FALSE
"C1276035","Pena-Shokeir syndrome type I","disease","C05;C16","Disease or Syndrome","Not Autism",5,FALSE
"C4225368","MYASTHENIC SYNDROME, CONGENITAL, 9, ASSOCIATED WITH ACETYLCHOLINE RECEPTOR DEFICIENCY","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C1855114","Methylmalonic Aciduria due to Methylmalonyl-CoA Mutase Deficiency","disease","C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C1855115","Methylmalonic Aciduria, mut(0) Type","disease","C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C1855116","Methylmalonic Aciduria, mut(-) Type","disease","C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C1837991","Colorectal Adenomatous Polyposis, Autosomal Recessive","disease","C04;C06;C16","Disease or Syndrome","Not Autism",1,FALSE
"C3553549","POROKERATOSIS 7, MULTIPLE TYPES","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C0342731","Deficiency of mevalonate kinase","disease","C10;C15;C16;C18;C20","Disease or Syndrome","Not Autism",1,FALSE
"C0398691","Hyperimmunoglobulinemia D","disease","C10;C15;C16;C18;C20","Disease or Syndrome","Not Autism",1,FALSE
"C0949506","Porokeratosis of Mibelli","disease","C16;C17","Disease or Syndrome","Not Autism",2,FALSE
"C1867981","POROKERATOSIS, DISSEMINATED SUPERFICIAL ACTINIC, 1","disease","C16;C17","Disease or Syndrome","Not Autism",1,FALSE
"C1959626","Mevalonic Aciduria","disease","C10;C15;C16;C18;C20","Disease or Syndrome","Not Autism",1,FALSE
"C2363903","Angiocentric glioma","disease","","Neoplastic Process","Not Autism",2,FALSE
"C0220662","ARTHROGRYPOSIS, DISTAL, TYPE 1","disease","C05;C16","Congenital Abnormality; Disease or Syndrome","Not Autism",6,FALSE
"C1852085","Digitotalar Dysmorphism","disease","C05;C16","Disease or Syndrome","Not Autism",6,FALSE
"C1969655","LETHAL CONGENITAL CONTRACTURAL SYNDROME 3","disease","C05;C10;C23","Disease or Syndrome","Not Autism",2,FALSE
"C3280526","ARTHROGRYPOSIS, DISTAL, TYPE 1B","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C3554046","LETHAL CONGENITAL CONTRACTURE SYNDROME 4","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C0597124","Obstructive asymmetric septal hypertrophy","disease","C14;C16","Disease or Syndrome","Not Autism",7,FALSE
"C1861862","Familial Hypertrophic Cardiomyopathy Type 4","disease","C14;C16","Disease or Syndrome","Not Autism",1,FALSE
"C2751427","CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 4, SUSCEPTIBILITY TO","phenotype","","Finding","Not Autism",1,FALSE
"C3715165","LEFT VENTRICULAR NONCOMPACTION 10","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C3809346","CARDIOMYOPATHY, DILATED, 1MM","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C0007129","Merkel cell carcinoma","disease","C02;C04","Neoplastic Process","Not Autism",2,FALSE
"C0085413","Polycystic Kidney, Autosomal Dominant","disease","C12;C13;C16","Disease or Syndrome","Not Autism",8,FALSE
"C0206093","Neuroectodermal Tumors","disease","C04","Neoplastic Process","Not Autism",1,FALSE
"C0887850","Polycystic Kidney, Type 1 Autosomal Dominant Disease","disease","C12;C13;C16","Congenital Abnormality; Disease or Syndrome","Not Autism",7,FALSE
"C2751306","Polycystic kidney disease, type 2","disease","C12;C13;C16","Disease or Syndrome","Not Autism",7,FALSE
"C0751483","Familial Retinoblastoma","disease","C04;C11","Neoplastic Process","Not Autism",2,FALSE
"C0796068","Oculodigitoesophagoduodenal syndrome","disease","C05;C06;C08;C10;C16;C23;F01;F03","Disease or Syndrome","Not Autism",2,FALSE
"C0024419","Waldenstrom Macroglobulinemia","disease","C04;C14;C15;C20","Neoplastic Process","Not Autism",1,FALSE
"C2677092","MYD88 Deficiency","disease","C20","Disease or Syndrome","Not Autism",1,FALSE
"C2936755","Familial Waldenstrom's Macroglobulinaemia","disease","C04;C14;C15;C20","Neoplastic Process","Not Autism",1,FALSE
"C3280703","MYOPATHY, CENTRONUCLEAR, 3","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C1854106","INCLUSION BODY MYOPATHY 3, AUTOSOMAL DOMINANT","disease","C05;C10;C11;C23","Disease or Syndrome","Not Autism",1,FALSE
"C0265224","Freeman-Sheldon syndrome","disease","C05;C16","Disease or Syndrome","Not Autism",2,FALSE
"C1834523","ARTHROGRYPOSIS, DISTAL, TYPE 2B","disease","C05;C16","Disease or Syndrome","Not Autism",6,FALSE
"C1867440","Multiple Pterygium Syndrome, Autosomal Dominant","disease","C05;C16","Disease or Syndrome","Not Autism",1,FALSE
"C0018817","Atrial Septal Defects","group","C14;C16","Congenital Abnormality","Not Autism",2,FALSE
"C0031192","Persistent Ostium Primum","disease","C14;C16","Congenital Abnormality","Not Autism",2,FALSE
"C2750466","Cardiomyopathy, Dilated, 1EE","disease","C14","Disease or Syndrome","Not Autism",1,FALSE
"C2750467","Cardiomyopathy, Familial Hypertrophic, 14","disease","C14;C16","Disease or Syndrome","Not Autism",1,FALSE
"C3279790","Atrial Septal Defect 3","disease","C14;C16","Congenital Abnormality; Disease or Syndrome","Not Autism",1,FALSE
"C3279791","SICK SINUS SYNDROME 3, SUSCEPTIBILITY TO","phenotype","","Finding","Not Autism",1,FALSE
"C0013481","Ebstein Anomaly","disease","C14;C16","Congenital Abnormality","Not Autism",1,FALSE
"C0221054","Welander Distal Myopathy","disease","C05;C10;C16","Disease or Syndrome","Not Autism",3,FALSE
"C1450052","Tibial Muscular Dystrophy","disease","C05;C10;C16","Disease or Syndrome","Not Autism",2,FALSE
"C1834481","CARDIOMYOPATHY, DILATED, 1S","disease","C14","Disease or Syndrome","Not Autism",1,FALSE
"C1838244","TIBIAL MUSCULAR DYSTROPHY, TARDIVE","disease","C05;C10;C16","Disease or Syndrome","Not Autism",2,FALSE
"C1842160","MYOPATHY, MYOSIN STORAGE (disorder)","disease","C05;C10","Disease or Syndrome","Not Autism",1,FALSE
"C1850709","Myopathy, Hyaline Body, Autosomal Recessive","disease","C05;C10","Disease or Syndrome","Not Autism",1,FALSE
"C3150690","LEFT VENTRICULAR NONCOMPACTION 5","disease","","Disease or Syndrome","Not Autism",1,FALSE
